,序號,答案
313,20240428131001,68.96
314,20240428132001,65.48
315,20240428133001,50.12
316,20240428134001,35.14
317,20240428135001,35.59
318,20240428140001,48.82
319,20240428141001,48.54
320,20240428142001,56.72
321,20240428143001,115.2
322,20240428144001,149.35
323,20240428145001,179.0
324,20240428150001,117.31
325,20240428151001,253.3
326,20240428152001,142.04
327,20240428153001,84.9
328,20240428154001,63.65
329,20240428155001,72.92
330,20240428160001,139.29
331,20240428161001,73.79
332,20240428162001,37.69
333,20240428163001,27.37
334,20240428164001,24.41
335,20240428165001,24.41
336,20240430090001,929.54
337,20240430091001,985.14
338,20240430092001,1114.7
339,20240430093001,1079.91
340,20240430094001,1297.84
341,20240430095001,1205.49
342,20240430100001,928.2
343,20240430101001,685.26
344,20240430102001,958.87
345,20240430103001,1320.3
346,20240430104001,1439.12
347,20240430105001,1345.77
348,20240430110001,1286.15
349,20240430111001,1279.24
350,20240430112001,1297.01
351,20240430113001,1357.09
352,20240430114001,1412.43
353,20240430115001,1124.83
354,20240430120001,726.6
355,20240430121001,1181.75
356,20240430122001,858.5
357,20240430123001,1404.54
358,20240430124001,1231.57
359,20240430125001,899.56
360,20240430130001,734.76
361,20240430131001,675.66
362,20240430132001,938.71
363,20240430133001,1080.37
364,20240430134001,882.5
365,20240430135001,983.7
366,20240430140001,689.43
367,20240430141001,557.37
368,20240430142001,388.9
369,20240430143001,245.58
370,20240430144001,212.91
371,20240430145001,300.27
372,20240430150001,121.34
373,20240430151001,59.17
374,20240430152001,105.76
375,20240430153001,58.51
376,20240430154001,22.41
377,20240430155001,19.35
378,20240430160001,5.31
379,20240430161001,4.26
380,20240430162001,4.57
381,20240430163001,9.7
382,20240430164001,6.26
383,20240430165001,10.61
384,20240515090001,816.36
385,20240515091001,926.37
386,20240515092001,890.27
387,20240515093001,1002.81
388,20240515094001,1060.77
389,20240515095001,1060.78
390,20240515100001,892.04
391,20240515101001,892.13
392,20240515102001,768.29
393,20240515103001,791.07
394,20240515104001,911.23
395,20240515105001,1230.98
396,20240515110001,1381.42
397,20240515111001,1243.87
398,20240515112001,1404.79
399,20240515113001,1384.35
400,20240515114001,1295.36
401,20240515115001,1210.23
402,20240515120001,1359.36
403,20240515121001,1623.86
404,20240515122001,1667.26
405,20240515123001,1623.06
406,20240515124001,1157.03
407,20240515125001,1529.21
408,20240515130001,1341.11
409,20240515131001,1361.38
410,20240515132001,1245.08
411,20240515133001,1059.15
412,20240515134001,653.42
413,20240515135001,812.63
414,20240515140001,422.34
415,20240515141001,272.17
416,20240515142001,211.04
417,20240515143001,211.18
418,20240515144001,176.45
419,20240515145001,127.02
420,20240515150001,86.76
421,20240515151001,52.96
422,20240515152001,43.78
423,20240515153001,32.85
424,20240515154001,19.81
425,20240515155001,26.46
426,20240515160001,30.78
427,20240515161001,27.2
428,20240515162001,18.37
429,20240515163001,10.04
430,20240515164001,8.32
431,20240515165001,9.76
432,20240520090001,372.58
433,20240520091001,349.28
434,20240520092001,331.87
435,20240520093001,300.49
436,20240520094001,228.49
437,20240520095001,183.2
438,20240520100001,336.09
439,20240520101001,414.22
440,20240520102001,377.08
441,20240520103001,377.29
442,20240520104001,356.91
443,20240520105001,334.58
444,20240520110001,237.52
445,20240520111001,263.01
446,20240520112001,209.63
447,20240520113001,209.53
448,20240520114001,159.83
449,20240520115001,155.77
450,20240520120001,199.19
451,20240520121001,167.9
452,20240520122001,115.98
453,20240520123001,72.7
454,20240520124001,115.82
455,20240520125001,119.44
456,20240520130001,141.21
457,20240520131001,115.94
458,20240520132001,72.88
459,20240520133001,48.58
460,20240520134001,52.1
461,20240520135001,70.78
462,20240520140001,49.44
463,20240520141001,47.75
464,20240520142001,51.51
465,20240520143001,61.78
466,20240520144001,81.03
467,20240520145001,85.45
468,20240520150001,98.21
469,20240520151001,88.43
470,20240520152001,71.22
471,20240520153001,42.33
472,20240520154001,48.72
473,20240520155001,45.28
474,20240520160001,23.11
475,20240520161001,20.33
476,20240520162001,21.77
477,20240520163001,15.06
478,20240520164001,10.43
479,20240520165001,8.33
480,20240613090001,37.12
481,20240613091001,61.25
482,20240613092001,72.87
483,20240613093001,84.97
484,20240613094001,89.33
485,20240613095001,104.22
486,20240613100001,170.79
487,20240613101001,255.96
488,20240613102001,501.01
489,20240613103001,561.99
490,20240613104001,404.71
491,20240613105001,385.47
492,20240613110001,145.6
493,20240613111001,152.46
494,20240613112001,221.26
495,20240613113001,397.83
496,20240613114001,487.58
497,20240613115001,413.24
498,20240613120001,711.55
499,20240613121001,631.5
500,20240613122001,532.09
501,20240613123001,647.96
502,20240613124001,390.33
503,20240613125001,301.44
504,20240613130001,612.12
505,20240613131001,517.84
506,20240613132001,608.17
507,20240613133001,132.2
508,20240613134001,448.74
509,20240613135001,599.57
510,20240613140001,340.07
511,20240613141001,148.38
512,20240613142001,331.34
513,20240613143001,63.72
514,20240613144001,73.5
515,20240613145001,53.5
516,20240613150001,39.53
517,20240613151001,40.24
518,20240613152001,34.71
519,20240613153001,40.22
520,20240613154001,54.33
521,20240613155001,76.92
522,20240613160001,66.98
523,20240613161001,34.85
524,20240613162001,24.91
525,20240613163001,22.55
526,20240613164001,16.56
527,20240613165001,7.33
528,20240615090001,278.85
529,20240615091001,236.12
530,20240615092001,204.03
531,20240615093001,280.09
532,20240615094001,330.92
533,20240615095001,487.64
534,20240615100001,287.78
535,20240615101001,430.38
536,20240615102001,369.42
537,20240615103001,408.92
538,20240615104001,365.88
539,20240615105001,436.83
540,20240615110001,532.09
541,20240615111001,421.65
542,20240615112001,405.51
543,20240615113001,376.27
544,20240615114001,340.9
545,20240615115001,415.87
546,20240615120001,863.07
547,20240615121001,860.37
548,20240615122001,762.47
549,20240615123001,608.51
550,20240615124001,536.81
551,20240615125001,521.35
552,20240615130001,745.61
553,20240615131001,664.53
554,20240615132001,507.16
555,20240615133001,404.39
556,20240615134001,401.05
557,20240615135001,332.3
558,20240615140001,300.16
559,20240615141001,325.87
560,20240615142001,386.16
561,20240615143001,172.36
562,20240615144001,160.74
563,20240615145001,163.74
564,20240615150001,369.87
565,20240615151001,218.07
566,20240615152001,195.22
567,20240615153001,156.06
568,20240615154001,150.81
569,20240615155001,123.46
570,20240615160001,145.12
571,20240615161001,85.67
572,20240615162001,70.78
573,20240615163001,56.04
574,20240615164001,45.74
575,20240615165001,19.01
576,20240703090001,245.94
577,20240703091001,547.04
578,20240703092001,554.03
579,20240703093001,547.96
580,20240703094001,548.87
581,20240703095001,455.36
582,20240703100001,222.27
583,20240703101001,211.22
584,20240703102001,360.78
585,20240703103001,698.86
586,20240703104001,953.53
587,20240703105001,1002.3
588,20240703110001,1108.69
589,20240703111001,1198.56
590,20240703112001,955.11
591,20240703113001,1080.77
592,20240703114001,1110.14
593,20240703115001,1080.31
594,20240703120001,1130.01
595,20240703121001,1067.23
596,20240703122001,1041.9
597,20240703123001,1067.71
598,20240703124001,1046.2
599,20240703125001,1113.37
600,20240703130001,850.49
601,20240703131001,768.0
602,20240703132001,736.69
603,20240703133001,770.41
604,20240703134001,673.86
605,20240703135001,646.98
606,20240703140001,595.03
607,20240703141001,567.06
608,20240703142001,508.75
609,20240703143001,485.47
610,20240703144001,436.67
611,20240703145001,385.52
612,20240703150001,290.38
613,20240703151001,301.56
614,20240703152001,267.26
615,20240703153001,231.57
616,20240703154001,147.2
617,20240703155001,16.91
618,20240703160001,55.64
619,20240703161001,15.76
620,20240703162001,26.18
621,20240703163001,5.25
622,20240703164001,13.14
623,20240703165001,5.59
624,20240707090001,772.73
625,20240707091001,860.46
626,20240707092001,861.04
627,20240707093001,944.26
628,20240707094001,1018.22
629,20240707095001,1067.53
630,20240707100001,1171.64
631,20240707101001,1258.85
632,20240707102001,1194.34
633,20240707103001,1195.38
634,20240707104001,1269.93
635,20240707105001,1215.7
636,20240707110001,807.18
637,20240707111001,1184.14
638,20240707112001,1256.6
639,20240707113001,1296.81
640,20240707114001,1251.1
641,20240707115001,1293.56
642,20240707120001,1263.75
643,20240707121001,1239.82
644,20240707122001,1295.68
645,20240707123001,1268.53
646,20240707124001,1237.25
647,20240707125001,1206.19
648,20240707130001,1086.72
649,20240707131001,1070.63
650,20240707132001,1041.2
651,20240707133001,951.82
652,20240707134001,808.18
653,20240707135001,743.73
654,20240707140001,686.84
655,20240707141001,685.38
656,20240707142001,567.3
657,20240707143001,566.24
658,20240707144001,488.64
659,20240707145001,604.14
660,20240707150001,465.6
661,20240707151001,405.27
662,20240707152001,141.36
663,20240707153001,86.43
664,20240707154001,37.83
665,20240707155001,104.95
666,20240707160001,31.06
667,20240707161001,52.81
668,20240707162001,20.52
669,20240707163001,33.72
670,20240707164001,3.69
671,20240707165001,2.85
672,20240125090002,18.24
673,20240125091002,18.22
674,20240125092002,20.06
675,20240125093002,20.17
676,20240125094002,22.46
677,20240125095002,16.6
678,20240125100002,11.39
679,20240125101002,14.28
680,20240125102002,19.42
681,20240125103002,24.86
682,20240125104002,28.19
683,20240125105002,37.33
684,20240125110002,65.21
685,20240125111002,85.46
686,20240125112002,108.82
687,20240125113002,157.62
688,20240125114002,185.85
689,20240125115002,195.16
690,20240125120002,177.38
691,20240125121002,158.42
692,20240125122002,93.53
693,20240125123002,93.53
694,20240125124002,50.88
695,20240125125002,45.13
696,20240125130002,30.08
697,20240125131002,27.75
698,20240125132002,28.75
699,20240125133002,33.14
700,20240125134002,24.87
701,20240125135002,19.41
702,20240125140002,9.54
703,20240125141002,7.03
704,20240125142002,8.56
705,20240125143002,6.89
706,20240125144002,5.21
707,20240125145002,2.09
708,20240125150002,1.3
709,20240125151002,1.18
710,20240125152002,1.48
711,20240125153002,0.94
712,20240125154002,1.09
713,20240125155002,2.05
714,20240125160002,6.64
715,20240125161002,1.8
716,20240125162002,1.19
717,20240125163002,1.09
718,20240125164002,0.79
719,20240125165002,0.29
720,20240128090002,7.07
721,20240128091002,10.88
722,20240128092002,11.08
723,20240128093002,20.85
724,20240128094002,39.02
725,20240128095002,32.55
726,20240128100002,20.25
727,20240128101002,22.62
728,20240128102002,27.56
729,20240128103002,40.5
730,20240128104002,38.62
731,20240128105002,36.49
732,20240128110002,24.96
733,20240128111002,26.94
734,20240128112002,28.02
735,20240128113002,31.08
736,20240128114002,30.46
737,20240128115002,41.99
738,20240128120002,73.0
739,20240128121002,71.63
740,20240128122002,70.27
741,20240128123002,72.92
742,20240128124002,43.02
743,20240128125002,35.55
744,20240128130002,36.3
745,20240128131002,26.71
746,20240128132002,23.33
747,20240128133002,24.22
748,20240128134002,24.96
749,20240128135002,32.75
750,20240128140002,20.09
751,20240128141002,19.18
752,20240128142002,15.77
753,20240128143002,15.8
754,20240128144002,12.22
755,20240128145002,12.18
756,20240128150002,10.22
757,20240128151002,10.14
758,20240128152002,13.59
759,20240128153002,10.27
760,20240128154002,5.57
761,20240128155002,5.26
762,20240128160002,4.09
763,20240128161002,1.89
764,20240128162002,1.8
765,20240128163002,1.28
766,20240128164002,0.64
767,20240128165002,0.35
768,20240213090002,540.01
769,20240213091002,932.6
770,20240213092002,659.17
771,20240213093002,806.6
772,20240213094002,1295.61
773,20240213095002,1616.87
774,20240213100002,1873.97
775,20240213101002,1936.13
776,20240213102002,1977.6
777,20240213103002,1977.3
778,20240213104002,1811.99
779,20240213105002,1935.83
780,20240213110002,1432.63
781,20240213111002,1918.26
782,20240213112002,1959.99
783,20240213113002,1906.21
784,20240213114002,1783.23
785,20240213115002,1605.04
786,20240213120002,1978.17
787,20240213121002,2089.65
788,20240213122002,1899.77
789,20240213123002,1409.43
790,20240213124002,783.73
791,20240213125002,1003.18
792,20240213130002,720.31
793,20240213131002,244.19
794,20240213132002,108.96
795,20240213133002,105.68
796,20240213134002,102.03
797,20240213135002,82.6
798,20240213140002,214.24
799,20240213141002,182.42
800,20240213142002,124.66
801,20240213143002,124.75
802,20240213144002,86.02
803,20240213145002,72.27
804,20240213150002,103.27
805,20240213151002,80.5
806,20240213152002,55.68
807,20240213153002,47.98
808,20240213154002,36.15
809,20240213155002,29.49
810,20240213160002,38.33
811,20240213161002,23.2
812,20240213162002,21.74
813,20240213163002,11.55
814,20240213164002,10.05
815,20240213165002,8.93
816,20240226090002,49.62
817,20240226091002,92.0
818,20240226092002,80.59
819,20240226093002,68.88
820,20240226094002,75.32
821,20240226095002,113.16
822,20240226100002,125.92
823,20240226101002,183.93
824,20240226102002,176.16
825,20240226103002,183.4
826,20240226104002,191.08
827,20240226105002,219.64
828,20240226110002,159.64
829,20240226111002,168.17
830,20240226112002,159.5
831,20240226113002,141.19
832,20240226114002,106.4
833,20240226115002,107.42
834,20240226120002,37.01
835,20240226121002,26.53
836,20240226122002,25.9
837,20240226123002,35.59
838,20240226124002,31.99
839,20240226125002,27.71
840,20240226130002,95.09
841,20240226131002,85.75
842,20240226132002,94.64
843,20240226133002,85.63
844,20240226134002,64.53
845,20240226135002,45.76
846,20240226140002,29.22
847,20240226141002,24.93
848,20240226142002,23.24
849,20240226143002,24.92
850,20240226144002,17.36
851,20240226145002,16.83
852,20240226150002,19.55
853,20240226151002,18.23
854,20240226152002,19.58
855,20240226153002,19.59
856,20240226154002,16.38
857,20240226155002,13.33
858,20240226160002,5.0
859,20240226161002,3.53
860,20240226162002,2.9
861,20240226163002,2.87
862,20240226164002,2.09
863,20240226165002,0.98
864,20240319090002,13.18
865,20240319091002,7.87
866,20240319092002,7.92
867,20240319093002,4.86
868,20240319094002,5.56
869,20240319095002,13.15
870,20240319100002,30.37
871,20240319101002,26.95
872,20240319102002,22.94
873,20240319103002,17.18
874,20240319104002,19.07
875,20240319105002,21.72
876,20240319110002,26.64
877,20240319111002,27.04
878,20240319112002,40.05
879,20240319113002,46.54
880,20240319114002,35.14
881,20240319115002,25.16
882,20240319120002,15.18
883,20240319121002,35.69
884,20240319122002,28.34
885,20240319123002,25.98
886,20240319124002,26.53
887,20240319125002,27.65
888,20240319130002,25.21
889,20240319131002,23.12
890,20240319132002,18.54
891,20240319133002,18.28
892,20240319134002,12.54
893,20240319135002,10.44
894,20240319140002,10.96
895,20240319141002,10.53
896,20240319142002,12.81
897,20240319143002,11.54
898,20240319144002,9.47
899,20240319145002,10.48
900,20240319150002,17.55
901,20240319151002,19.09
902,20240319152002,24.52
903,20240319153002,13.79
904,20240319154002,7.79
905,20240319155002,4.8
906,20240319160002,3.73
907,20240319161002,1.95
908,20240319162002,1.13
909,20240319163002,1.26
910,20240319164002,1.32
911,20240319165002,1.13
912,20240427090002,94.63
913,20240427091002,64.2
914,20240427092002,55.08
915,20240427093002,54.22
916,20240427094002,70.04
917,20240427095002,91.83
918,20240427100002,45.39
919,20240427101002,63.32
920,20240427102002,109.15
921,20240427103002,153.29
922,20240427104002,164.64
923,20240427105002,171.83
924,20240427110002,162.21
925,20240427111002,152.09
926,20240427112002,139.69
927,20240427113002,135.37
928,20240427114002,114.77
929,20240427115002,104.55
930,20240427120002,93.7
931,20240427121002,137.67
932,20240427122002,116.33
933,20240427123002,99.37
934,20240427124002,78.05
935,20240427125002,73.9
936,20240427130002,181.46
937,20240427131002,190.81
938,20240427132002,121.01
939,20240427133002,230.1
940,20240427134002,446.89
941,20240427135002,326.93
942,20240427140002,258.36
943,20240427141002,258.45
944,20240427142002,200.4
945,20240427143002,152.94
946,20240427144002,183.8
947,20240427145002,158.43
948,20240427150002,190.78
949,20240427151002,169.91
950,20240427152002,116.44
951,20240427153002,78.17
952,20240427154002,57.94
953,20240427155002,65.72
954,20240427160002,94.07
955,20240427161002,93.96
956,20240427162002,44.55
957,20240427163002,15.44
958,20240427164002,44.61
959,20240427165002,37.44
960,20240508090002,119.39
961,20240508091002,59.74
962,20240508092002,59.77
963,20240508093002,62.44
964,20240508094002,53.98
965,20240508095002,59.74
966,20240508100002,95.04
967,20240508101002,95.15
968,20240508102002,78.84
969,20240508103002,59.51
970,20240508104002,30.66
971,20240508105002,34.65
972,20240508110002,40.59
973,20240508111002,40.3
974,20240508112002,83.26
975,20240508113002,81.17
976,20240508114002,109.47
977,20240508115002,126.78
978,20240508120002,150.92
979,20240508121002,118.2
980,20240508122002,212.42
981,20240508123002,80.33
982,20240508124002,41.92
983,20240508125002,23.35
984,20240508130002,7.85
985,20240508131002,5.33
986,20240508132002,3.07
987,20240508133002,3.64
988,20240508134002,8.13
989,20240508135002,8.55
990,20240508140002,13.39
991,20240508141002,28.78
992,20240508142002,55.13
993,20240508143002,21.45
994,20240508144002,8.47
995,20240508145002,7.09
996,20240508150002,2.7
997,20240508151002,3.44
998,20240508152002,4.18
999,20240508153002,2.0
1000,20240508154002,1.55
1001,20240508155002,0.68
1002,20240508160002,0.55
1003,20240508161002,0.95
1004,20240508162002,1.45
1005,20240508163002,1.53
1006,20240508164002,0.61
1007,20240508165002,0.39
1008,20240705090002,725.92
1009,20240705091002,792.69
1010,20240705092002,848.72
1011,20240705093002,875.82
1012,20240705094002,909.05
1013,20240705095002,989.65
1014,20240705100002,1009.69
1015,20240705101002,1057.09
1016,20240705102002,1164.48
1017,20240705103002,1259.78
1018,20240705104002,1188.24
1019,20240705105002,234.63
1020,20240705110002,696.19
1021,20240705111002,70.45
1022,20240705112002,321.99
1023,20240705113002,1236.91
1024,20240705114002,1207.74
1025,20240705115002,1220.91
1026,20240705120002,1160.64
1027,20240705121002,1150.28
1028,20240705122002,1198.72
1029,20240705123002,1150.28
1030,20240705124002,1100.09
1031,20240705125002,1086.68
1032,20240705130002,1046.65
1033,20240705131002,1031.89
1034,20240705132002,938.66
1035,20240705133002,957.68
1036,20240705134002,808.0
1037,20240705135002,802.91
1038,20240705140002,715.74
1039,20240705141002,662.97
1040,20240705142002,705.36
1041,20240705143002,532.01
1042,20240705144002,532.01
1043,20240705145002,181.16
1044,20240705150002,191.78
1045,20240705151002,230.22
1046,20240705152002,221.27
1047,20240705153002,238.67
1048,20240705154002,23.53
1049,20240705155002,27.06
1050,20240705160002,46.0
1051,20240705161002,17.56
1052,20240705162002,34.92
1053,20240705163002,17.26
1054,20240705164002,10.67
1055,20240705165002,11.5
1056,20240707090002,743.1
1057,20240707091002,854.74
1058,20240707092002,889.93
1059,20240707093002,896.93
1060,20240707094002,1013.47
1061,20240707095002,1013.47
1062,20240707100002,1155.19
1063,20240707101002,1199.25
1064,20240707102002,1242.26
1065,20240707103002,1177.82
1066,20240707104002,1313.0
1067,20240707105002,1200.28
1068,20240707110002,883.37
1069,20240707111002,1207.79
1070,20240707112002,1301.69
1071,20240707113002,1339.55
1072,20240707114002,1298.43
1073,20240707115002,1338.44
1074,20240707120002,1229.62
1075,20240707121002,1193.53
1076,20240707122002,1215.64
1077,20240707123002,1220.02
1078,20240707124002,1193.72
1079,20240707125002,1179.42
1080,20240707130002,990.87
1081,20240707131002,1026.72
1082,20240707132002,932.54
1083,20240707133002,909.05
1084,20240707134002,813.91
1085,20240707135002,742.97
1086,20240707140002,729.85
1087,20240707141002,692.18
1088,20240707142002,584.79
1089,20240707143002,574.8
1090,20240707144002,507.19
1091,20240707145002,542.15
1092,20240707150002,450.55
1093,20240707151002,396.46
1094,20240707152002,141.63
1095,20240707153002,87.12
1096,20240707154002,34.09
1097,20240707155002,105.38
1098,20240707160002,32.92
1099,20240707161002,44.52
1100,20240707162002,24.54
1101,20240707163002,28.42
1102,20240707164002,4.81
1103,20240707165002,3.44
1104,20240317090003,1224.13
1105,20240317091003,1382.52
1106,20240317092003,1484.11
1107,20240317093003,1537.9
1108,20240317094003,1612.03
1109,20240317095003,1621.62
1110,20240317100003,1641.03
1111,20240317101003,1628.73
1112,20240317102003,1760.71
1113,20240317103003,1755.14
1114,20240317104003,1956.55
1115,20240317105003,1961.47
1116,20240317110003,1769.88
1117,20240317111003,1839.96
1118,20240317112003,1572.61
1119,20240317113003,1519.63
1120,20240317114003,1460.94
1121,20240317115003,583.81
1122,20240317120003,1047.81
1123,20240317121003,475.98
1124,20240317122003,205.66
1125,20240317123003,164.54
1126,20240317124003,244.08
1127,20240317125003,164.01
1128,20240317130003,133.66
1129,20240317131003,122.33
1130,20240317132003,158.37
1131,20240317133003,134.2
1132,20240317134003,193.49
1133,20240317135003,260.07
1134,20240317140003,237.92
1135,20240317141003,160.73
1136,20240317142003,73.36
1137,20240317143003,56.19
1138,20240317144003,59.84
1139,20240317145003,34.76
